fiscal_year,fiscal_period,cik,filed,rd_expense,z_score,symbol
2013.0,FY,2186,2014-03-05,7518000,-0.2842532452781279,BKTI
2013.0,FY,2488,2014-02-18,6563000000,1.5112828452490092,AMD
2013.0,FY,4127,2013-11-18,607400000,-0.11994651984472726,SWKS
2013.0,FY,6281,2013-11-26,2556086000,0.41379547534417954,ADI
2013.0,FY,6951,2013-12-04,3675000000,0.7202642398371766,AMAT
2013.0,FY,8146,2014-04-07,8888000,-0.2838780044576936,ALOT
2013.0,FY,9092,2014-02-20,28200000,-0.2785884783816156,BMI
2013.0,FY,21535,2014-03-05,120997000,-0.25317152771457896,COHU
2013.0,FY,22701,2014-03-14,7109000,-0.28436526972744003,PEGY
2013.0,FY,23197,2013-10-03,118753000,-0.25378615574454577,CMTL
2013.0,FY,24741,2014-02-10,1825000000,0.21355218304635568,GLW
2013.0,FY,26058,2014-03-03,64130000,-0.26874730854351064,CTS
2013.0,FY,28823,2014-03-03,256304000,-0.21611115567771647,DBD
2013.0,FY,29002,2014-02-27,109294000,-0.2563769607959968,DIOD
2013.0,FY,39020,2013-07-29,9587000,-0.2836865494697494,FEIM
2013.0,FY,47217,2013-12-30,9788000000,2.394605214519494,HPQ
2013.0,FY,50863,2014-02-14,29109000000,7.686596376279196,INTC
2013.0,FY,51143,2014-02-25,18786000000,4.859143099386416,IBM
2013.0,FY,56701,2013-08-23,2742558,-0.2855612312445632,KOSS
2013.0,FY,56978,2013-11-14,190201000,-0.23421666221287518,KLIC
2013.0,FY,61004,2014-03-31,4290000,-0.2851373893426256,LGL
2013.0,FY,65270,2013-06-20,63593000,-0.2688943919891845,MEI
2013.0,FY,65770,2014-03-06,23118000,-0.27998043009654044,MVIS
2013.0,FY,68505,2014-02-13,5295000000,1.16397966254049,MSI
2013.0,FY,70866,2014-02-27,567000000,-0.1310120155714025,VYX
2013.0,FY,78749,2014-06-04,70951000,-0.2668790474952024,AGYS
2013.0,FY,84748,2014-02-24,62487000,-0.26919732362962273,ROG
2013.0,FY,87050,2014-03-06,14834000,-0.282249404517327,NEON
2013.0,FY,88941,2014-03-27,595469000,-0.12321440176341444,SMTC
2013.0,FY,97476,2014-02-24,5114000000,1.1144040504977124,TXN
2013.0,FY,101984,2014-03-12,42866000,-0.2745714843141052,UEIC
2013.0,FY,103145,2014-02-28,273173000,-0.2114907634150114,VECO
2013.0,FY,103730,2014-02-19,175063000,-0.23836293632946948,VSH
2013.0,FY,317788,2014-06-30,9191000,-0.28379501323974354,APPS
2013.0,FY,319201,2013-08-08,1326932000,0.07713215023463106,KLAC
2013.0,FY,320193,2013-10-30,10285000000,2.5307327238303254,AAPL
2013.0,FY,320340,2014-03-17,5170000,-0.28489635874263863,CCRD
2013.0,FY,350868,2014-09-04,10283000,-0.28349591617703246,ITI
2013.0,FY,351789,2014-03-21,1003000,-0.28603769341325885,ELSE
2013.0,FY,351998,2014-03-28,10150000,-0.2835323446654396,DAIO
2013.0,FY,356037,2013-12-24,3577000,-0.2853326789082969,CSPI
2013.0,FY,704532,2014-03-07,85589000,-0.26286972258314617,ONTO
2013.0,FY,707549,2013-08-27,1501540000,0.12495700364659411,LRCX
2013.0,FY,708821,2014-03-14,29264000,-0.2782970504743586,PAR
2013.0,FY,709283,2014-06-06,212700000,-0.22805422190707159,QMCO
2013.0,FY,713425,2013-07-12,24496000,-0.27960299808883354,AMSWA
2013.0,FY,719733,2013-09-06,13382000,-0.28264710500730555,KTCC
2013.0,FY,720500,2013-12-11,30544000,-0.2779464605107412,ASYS
2013.0,FY,722572,2013-09-30,4360000,-0.28511821645399027,FKWL
2013.0,FY,723125,2013-10-28,2640000000,0.436779386443393,MU
2013.0,FY,724004,2014-06-04,5690000,-0.28475393156991907,MLAB
2013.0,FY,724910,2014-06-06,8756218,-0.2839140993378385,NVEC
2013.0,FY,729580,2014-03-13,77000000,-0.265222236018701,BELFA
2013.0,FY,729580,2014-03-13,77000000,-0.265222236018701,BELFB
2013.0,FY,732026,2013-09-27,576000,-0.2861546480339343,TRT
2013.0,FY,733269,2014-05-28,40800000,-0.2751373584272565,RAMP
2013.0,FY,736012,2014-03-28,3239000,-0.2854252565705646,INTZ
2013.0,FY,746838,2014-02-24,227100000,-0.22411008481637545,UIS
2013.0,FY,751978,2014-03-14,117559000,-0.25411319044498265,VICR
2013.0,FY,763532,2013-09-06,17153000,-0.2816142341066795,LYTS
2013.0,FY,769397,2014-03-10,1777600000,0.20056939845614763,ADSK
2013.0,FY,771266,2014-03-17,41322854,-0.2749941495484774,KOPN
2013.0,FY,772406,2014-05-28,325957000,-0.19703330979033754,CRUS
2013.0,FY,779152,2013-08-27,311551000,-0.2009790902714881,JKHY
2013.0,FY,780571,2014-02-26,515977000,-0.14498713409769334,ITRI
2013.0,FY,789019,2013-07-30,29265000000,7.729324528095071,MSFT
2013.0,FY,793524,2014-03-10,5265887,-0.28487009544588754,REFR
2013.0,FY,797721,2014-05-27,121176000,-0.2531224998993543,VSAT
2013.0,FY,804328,2013-11-06,11877000000,2.9667789910795075,QCOM
2013.0,FY,806172,2014-05-28,1779582,-0.2858249888389417,SOTK
2013.0,FY,807863,2013-12-12,16453551,-0.2818058120750094,MITK
2013.0,FY,808326,2013-12-09,117473000,-0.2541367457081632,EMKR
2013.0,FY,810136,2014-01-03,55636000,-0.27107380163020317,PLAB
2013.0,FY,814547,2013-11-12,188623000,-0.2346488739023973,FICO
2013.0,FY,816761,2014-02-27,541000000,-0.1381333742073816,TDC
2013.0,FY,817720,2013-08-19,367656000,-0.18561202003027244,SYNA
2013.0,FY,820313,2014-02-21,284778000,-0.20831217237768304,APH
2013.0,FY,820318,2013-08-28,104277000,-0.2577511091143317,COHR
2013.0,FY,827054,2014-05-30,742416000,-0.08296585224490594,MCHP
2013.0,FY,833640,2014-02-13,137658000,-0.24860810632096172,POWI
2013.0,FY,840715,2014-03-20,15823000,-0.2819785189907507,CLRO
2013.0,FY,849399,2014-05-16,3019000000,0.5405868834832422,GEN
2013.0,FY,851205,2014-02-13,130582000,-0.25054621146358436,CGNX
2013.0,FY,851310,2014-02-28,301879000,-0.20362823568407235,HLIT
2013.0,FY,855658,2014-03-11,230431000,-0.2231977292157429,LSCC
2013.0,FY,857005,2013-11-22,648284000,-0.10874845728805921,PTC
2013.0,FY,858877,2013-09-10,17253000000,4.439256838272725,CSCO
2013.0,FY,864749,2014-02-25,752886000,-0.08009813590187896,TRMB
2013.0,FY,866374,2014-05-20,78900000,-0.26470182904145634,FLEX
2013.0,FY,866706,2013-11-27,74645000,-0.26586726677207523,ESE
2013.0,FY,867773,2014-02-18,179311000,-0.23719941588771412,SPWR
2013.0,FY,877212,2014-02-20,268437000,-0.2127879462803959,ZBRA
2013.0,FY,882508,2014-03-06,26954000,-0.27892975579932444,QUIK
2013.0,FY,882835,2014-02-21,393300000,-0.17858816922792442,ROP
2013.0,FY,883241,2013-12-20,1742696000,0.19100924838575475,SNPS
2013.0,FY,884144,2014-03-27,5211000,-0.2848851289078665,ASUR
2013.0,FY,889331,2014-02-25,65085000,-0.26848573556284294,LFUS
2013.0,FY,890394,2014-03-14,78021000,-0.26494258574303425,PRSO
2013.0,FY,895419,2013-08-28,414281000,-0.17284150670709836,WOLF
2013.0,FY,896429,2013-09-30,2936000,-0.2855082477885147,CTLP
2013.0,FY,896878,2013-09-13,1869000000,0.22560371304570492,INTU
2013.0,FY,897723,2013-11-27,68272000,-0.26761282133311737,SANM
2013.0,FY,898293,2013-10-28,79339000,-0.26458158763987194,JBL
2013.0,FY,909494,2014-03-18,13329651,-0.2826614433151223,TCX
2013.0,FY,910638,2014-02-28,81023000,-0.26412034271898777,DDD
2013.0,FY,912093,2013-08-23,1243000000,0.054143308964054206,VIAV
2013.0,FY,913142,2014-02-27,203439000,-0.23059079507352553,BDC
2013.0,FY,915779,2013-06-12,65587000,-0.2683482385614867,DAKT
2013.0,FY,917273,2014-02-21,374180000,-0.18382510680945982,RMBS
2013.0,FY,917491,2014-02-26,55186000,-0.27119705591428744,FARO
2013.0,FY,923601,2014-06-30,309273,-0.28622770413489196,MICS
2013.0,FY,924383,2013-11-21,3501042,-0.2853534836836535,GNSS
2013.0,FY,926282,2014-02-27,357307000,-0.1884465946658012,ADTN
2013.0,FY,936395,2013-12-20,1127449000,0.022494073896899534,CIEN
2013.0,FY,944075,2014-03-31,4980208,-0.284948342469494,SCKT
2013.0,FY,948708,2014-03-07,87783000,-0.2622687894736332,SMSI
2013.0,FY,1000230,2013-12-20,3800000,-0.2852715995630729,OCC
2013.0,FY,1002047,2013-06-17,2381000000,0.36583969849267806,NTAP
2013.0,FY,1005284,2014-02-28,88376000,-0.26210636771705104,OLED
2013.0,FY,1005757,2014-02-28,334088000,-0.19480624182613962,CSGS
2013.0,FY,1007587,2014-03-17,36682000,-0.27626527207583196,KVHI
2013.0,FY,1013462,2014-02-27,392597000,-0.17878071980950494,ANSS
2013.0,FY,1013857,2014-02-25,221760000,-0.22557270232084195,PEGA
2013.0,FY,1014473,2014-02-21,185268000,-0.2355678030648477,VRSN
2013.0,FY,1015739,2014-02-18,10777000,-0.28336061036294885,AWRE
2013.0,FY,1017303,2014-03-14,15787000,-0.2819883793334775,TACT
2013.0,FY,1022652,2014-03-12,170060000,-0.23973325007007731,INSG
2013.0,FY,1023731,2014-05-27,26525000,-0.2790472582168181,EGHT
2013.0,FY,1032975,2014-11-13,456556000,-0.16126245146340543,LOGI
2013.0,FY,1036262,2014-03-27,7578000,-0.28423681137358336,INTT
2013.0,FY,1038074,2014-01-31,431704000,-0.16806937472576514,SLAB
2013.0,FY,1039065,2013-08-16,143253000,-0.24707564472218085,OSIS
2013.0,FY,1039399,2014-03-07,208082000,-0.22931908476018512,FORM
2013.0,FY,1040161,2014-03-05,64327000,-0.2686933505569226,PXLW
2013.0,FY,1040470,2013-08-28,11966000,-0.28303494515455735,AEHR
2013.0,FY,1040896,2014-03-25,4295755,-0.2851358130572814,IDN
2013.0,FY,1041514,2013-08-22,10900000,-0.2833269208586325,LSAK
2013.0,FY,1043604,2014-02-26,5316400000,1.1698410884947188,JNPR
2013.0,FY,1044777,2014-03-12,58745000,-0.27022225147638557,OSPN
2013.0,FY,1045810,2014-03-13,3485721000,0.6684210228656577,NVDA
2013.0,FY,1047127,2014-02-28,169129000,-0.2399882494889272,AMKR
2013.0,FY,1048695,2013-11-22,912950000,-0.036256860951519,FFIV
2013.0,FY,1049502,2014-02-26,184721000,-0.23571762549461234,MKSI
2013.0,FY,1050446,2014-02-12,254109000,-0.21671236268563857,MSTR
2013.0,FY,1051627,2014-03-14,9365000,-0.28374735491656433,AXTI
2013.0,FY,1056696,2014-02-06,220878000,-0.2258142807176471,MANH
2013.0,FY,1058811,2014-02-27,27690000,-0.2787281665702444,IMMR
2013.0,FY,1066194,2013-09-23,20102000,-0.280806507698314,EGAN
2013.0,FY,1066923,2014-03-31,590461,-0.2861506871890407,FTFT
2013.0,FY,1074828,2014-01-13,1346225,-0.2859436846318037,KNW
2013.0,FY,1076930,2014-03-13,72199000,-0.26653722228067545,NOVT
