fiscal_year,rd_expense,fiscal_period,filed,cik,source
2013.0,2429000000,FY,2013-10-30,320193,xbrl
2013.0,758000000,Q1,2013-01-24,320193,xbrl
2013.0,1599000000,Q2,2013-04-24,320193,xbrl
2013.0,841000000,Q2,2013-04-24,320193,xbrl
2013.0,2475000000,Q3,2013-07-24,320193,xbrl
2013.0,876000000,Q3,2013-07-24,320193,xbrl
2013.0,3381000000,FY,2013-10-30,320193,xbrl
2014.0,3381000000,FY,2014-10-27,320193,xbrl
2013.0,1010000000,Q1,2013-01-24,320193,xbrl
2014.0,1010000000,Q1,2014-01-28,320193,xbrl
2013.0,2129000000,Q2,2013-04-24,320193,xbrl
2014.0,2129000000,Q2,2014-04-24,320193,xbrl
2013.0,1119000000,Q2,2013-04-24,320193,xbrl
2014.0,1119000000,Q2,2014-04-24,320193,xbrl
2013.0,3307000000,Q3,2013-07-24,320193,xbrl
2014.0,3307000000,Q3,2014-07-23,320193,xbrl
2013.0,1178000000,Q3,2013-07-24,320193,xbrl
2014.0,1178000000,Q3,2014-07-23,320193,xbrl
2013.0,4475000000,FY,2013-10-30,320193,xbrl
2014.0,4475000000,FY,2014-10-27,320193,xbrl
2015.0,4475000000,FY,2015-10-28,320193,xbrl
2014.0,1330000000,Q1,2014-01-28,320193,xbrl
2015.0,1330000000,Q1,2015-01-28,320193,xbrl
2014.0,2752000000,Q2,2014-04-24,320193,xbrl
2015.0,2752000000,Q2,2015-04-28,320193,xbrl
2014.0,1422000000,Q2,2014-04-24,320193,xbrl
2015.0,1422000000,Q2,2015-04-28,320193,xbrl
2014.0,4355000000,Q3,2014-07-23,320193,xbrl
2015.0,4355000000,Q3,2015-07-22,320193,xbrl
2014.0,1603000000,Q3,2014-07-23,320193,xbrl
2015.0,1603000000,Q3,2015-07-22,320193,xbrl
2014.0,6041000000,FY,2014-10-27,320193,xbrl
2015.0,6041000000,FY,2015-10-28,320193,xbrl
2016.0,6041000000,FY,2016-10-26,320193,xbrl
2015.0,1895000000,Q1,2015-01-28,320193,xbrl
2016.0,1895000000,Q1,2016-01-27,320193,xbrl
2015.0,3813000000,Q2,2015-04-28,320193,xbrl
2016.0,3813000000,Q2,2016-04-27,320193,xbrl
2015.0,1918000000,Q2,2015-04-28,320193,xbrl
2016.0,1918000000,Q2,2016-04-27,320193,xbrl
2015.0,5847000000,Q3,2015-07-22,320193,xbrl
2016.0,5847000000,Q3,2016-07-27,320193,xbrl
2015.0,2034000000,Q3,2015-07-22,320193,xbrl
2016.0,2034000000,Q3,2016-07-27,320193,xbrl
2015.0,8067000000,FY,2015-10-28,320193,xbrl
2016.0,8067000000,FY,2016-10-26,320193,xbrl
2017.0,8067000000,FY,2017-11-03,320193,xbrl
2016.0,2404000000,Q1,2016-01-27,320193,xbrl
2017.0,2404000000,Q1,2017-02-01,320193,xbrl
2016.0,4915000000,Q2,2016-04-27,320193,xbrl
2017.0,4915000000,Q2,2017-05-03,320193,xbrl
2016.0,2511000000,Q2,2016-04-27,320193,xbrl
2017.0,2511000000,Q2,2017-05-03,320193,xbrl
2016.0,7475000000,Q3,2016-07-27,320193,xbrl
2017.0,7475000000,Q3,2017-08-02,320193,xbrl
2016.0,2560000000,Q3,2016-07-27,320193,xbrl
2017.0,2560000000,Q3,2017-08-02,320193,xbrl
2016.0,10045000000,FY,2016-10-26,320193,xbrl
2017.0,10045000000,FY,2017-11-03,320193,xbrl
2018.0,10045000000,FY,2018-11-05,320193,xbrl
2017.0,2871000000,Q1,2017-02-01,320193,xbrl
2018.0,2871000000,Q1,2018-02-02,320193,xbrl
2017.0,5647000000,Q2,2017-05-03,320193,xbrl
2018.0,5647000000,Q2,2018-05-02,320193,xbrl
2017.0,2776000000,Q2,2017-05-03,320193,xbrl
2018.0,2776000000,Q2,2018-05-02,320193,xbrl
2017.0,8584000000,Q3,2017-08-02,320193,xbrl
2018.0,8584000000,Q3,2018-08-01,320193,xbrl
2017.0,2937000000,Q3,2017-08-02,320193,xbrl
2018.0,2937000000,Q3,2018-08-01,320193,xbrl
2017.0,11581000000,FY,2017-11-03,320193,xbrl
2018.0,11581000000,FY,2018-11-05,320193,xbrl
2019.0,11581000000,FY,2019-10-31,320193,xbrl
2018.0,3407000000,Q1,2018-02-02,320193,xbrl
2019.0,3407000000,Q1,2019-01-30,320193,xbrl
2018.0,6785000000,Q2,2018-05-02,320193,xbrl
2019.0,6785000000,Q2,2019-05-01,320193,xbrl
2018.0,3378000000,Q2,2018-05-02,320193,xbrl
2019.0,3378000000,Q2,2019-05-01,320193,xbrl
2018.0,10486000000,Q3,2018-08-01,320193,xbrl
2019.0,10486000000,Q3,2019-07-31,320193,xbrl
2018.0,3701000000,Q3,2018-08-01,320193,xbrl
2019.0,3701000000,Q3,2019-07-31,320193,xbrl
2018.0,14236000000,FY,2018-11-05,320193,xbrl
2019.0,14236000000,FY,2019-10-31,320193,xbrl
2020.0,14236000000,FY,2020-10-30,320193,xbrl
2019.0,3902000000,Q1,2019-01-30,320193,xbrl
2020.0,3902000000,Q1,2020-01-29,320193,xbrl
2019.0,7850000000,Q2,2019-05-01,320193,xbrl
2020.0,7850000000,Q2,2020-05-01,320193,xbrl
2019.0,3948000000,Q2,2019-05-01,320193,xbrl
2020.0,3948000000,Q2,2020-05-01,320193,xbrl
2019.0,12107000000,Q3,2019-07-31,320193,xbrl
2020.0,12107000000,Q3,2020-07-31,320193,xbrl
2019.0,4257000000,Q3,2019-07-31,320193,xbrl
2020.0,4257000000,Q3,2020-07-31,320193,xbrl
2019.0,16217000000,FY,2019-10-31,320193,xbrl
2020.0,16217000000,FY,2020-10-30,320193,xbrl
2021.0,16217000000,FY,2021-10-29,320193,xbrl
2020.0,4451000000,Q1,2020-01-29,320193,xbrl
2021.0,4451000000,Q1,2021-01-28,320193,xbrl
2020.0,9016000000,Q2,2020-05-01,320193,xbrl
2021.0,9016000000,Q2,2021-04-29,320193,xbrl
2020.0,4565000000,Q2,2020-05-01,320193,xbrl
2021.0,4565000000,Q2,2021-04-29,320193,xbrl
2020.0,13774000000,Q3,2020-07-31,320193,xbrl
2021.0,13774000000,Q3,2021-07-28,320193,xbrl
2020.0,4758000000,Q3,2020-07-31,320193,xbrl
2021.0,4758000000,Q3,2021-07-28,320193,xbrl
2020.0,18752000000,FY,2020-10-30,320193,xbrl
2021.0,18752000000,FY,2021-10-29,320193,xbrl
2022.0,18752000000,FY,2022-10-28,320193,xbrl
2021.0,5163000000,Q1,2021-01-28,320193,xbrl
2022.0,5163000000,Q1,2022-01-28,320193,xbrl
2021.0,10425000000,Q2,2021-04-29,320193,xbrl
2022.0,10425000000,Q2,2022-04-29,320193,xbrl
2021.0,5262000000,Q2,2021-04-29,320193,xbrl
2022.0,5262000000,Q2,2022-04-29,320193,xbrl
2021.0,16142000000,Q3,2021-07-28,320193,xbrl
2022.0,16142000000,Q3,2022-07-29,320193,xbrl
2021.0,5717000000,Q3,2021-07-28,320193,xbrl
2022.0,5717000000,Q3,2022-07-29,320193,xbrl
2021.0,21914000000,FY,2021-10-29,320193,xbrl
2022.0,21914000000,FY,2022-10-28,320193,xbrl
2023.0,21914000000,FY,2023-11-03,320193,xbrl
2022.0,6306000000,Q1,2022-01-28,320193,xbrl
2023.0,6306000000,Q1,2023-02-03,320193,xbrl
2022.0,12693000000,Q2,2022-04-29,320193,xbrl
2023.0,12693000000,Q2,2023-05-05,320193,xbrl
2022.0,6387000000,Q2,2022-04-29,320193,xbrl
2023.0,6387000000,Q2,2023-05-05,320193,xbrl
2022.0,19490000000,Q3,2022-07-29,320193,xbrl
2023.0,19490000000,Q3,2023-08-04,320193,xbrl
2022.0,6797000000,Q3,2022-07-29,320193,xbrl
2023.0,6797000000,Q3,2023-08-04,320193,xbrl
2022.0,26251000000,FY,2022-10-28,320193,xbrl
2023.0,26251000000,FY,2023-11-03,320193,xbrl
2023.0,7709000000,Q1,2023-02-03,320193,xbrl
2023.0,15166000000,Q2,2023-05-05,320193,xbrl
2023.0,7457000000,Q2,2023-05-05,320193,xbrl
2023.0,22608000000,Q3,2023-08-04,320193,xbrl
2023.0,7442000000,Q3,2023-08-04,320193,xbrl
2023.0,29915000000,FY,2023-11-03,320193,xbrl
2013.0,9043000000,FY,2013-07-30,789019,xbrl
2013.0,2329000000,Q1,2012-10-18,789019,xbrl
2013.0,4700000000,Q2,2013-01-24,789019,xbrl
2013.0,2371000000,Q2,2013-01-24,789019,xbrl
2013.0,7217000000,Q3,2013-04-18,789019,xbrl
2013.0,2517000000,Q3,2013-04-18,789019,xbrl
2013.0,9811000000,FY,2013-07-30,789019,xbrl
2014.0,9811000000,FY,2014-07-31,789019,xbrl
2013.0,2460000000,Q1,2012-10-18,789019,xbrl
2014.0,2460000000,Q1,2013-10-24,789019,xbrl
2013.0,4988000000,Q2,2013-01-24,789019,xbrl
2014.0,4988000000,Q2,2014-01-23,789019,xbrl
2013.0,2528000000,Q2,2013-01-24,789019,xbrl
2014.0,2528000000,Q2,2014-01-23,789019,xbrl
2013.0,7628000000,Q3,2013-04-18,789019,xbrl
2014.0,7628000000,Q3,2014-04-24,789019,xbrl
2013.0,2640000000,Q3,2013-04-18,789019,xbrl
2014.0,2640000000,Q3,2014-04-24,789019,xbrl
2013.0,10411000000,FY,2013-07-30,789019,xbrl
2014.0,10411000000,FY,2014-07-31,789019,xbrl
2015.0,10411000000,FY,2015-07-31,789019,xbrl
2014.0,2767000000,Q1,2013-10-24,789019,xbrl
2015.0,2767000000,Q1,2014-10-23,789019,xbrl
2014.0,5515000000,Q2,2014-01-23,789019,xbrl
2015.0,5515000000,Q2,2015-01-26,789019,xbrl
2014.0,2748000000,Q2,2014-01-23,789019,xbrl
2015.0,2748000000,Q2,2015-01-26,789019,xbrl
2014.0,8258000000,Q3,2014-04-24,789019,xbrl
2015.0,8258000000,Q3,2015-04-23,789019,xbrl
2014.0,2743000000,Q3,2014-04-24,789019,xbrl
2015.0,2743000000,Q3,2015-04-23,789019,xbrl
2014.0,11381000000,FY,2014-07-31,789019,xbrl
2015.0,11381000000,FY,2015-07-31,789019,xbrl
2016.0,11381000000,FY,2016-07-28,789019,xbrl
2015.0,3065000000,Q1,2014-10-23,789019,xbrl
2016.0,3065000000,Q1,2015-10-22,789019,xbrl
2015.0,5968000000,Q2,2015-01-26,789019,xbrl
2016.0,5968000000,Q2,2016-01-28,789019,xbrl
2015.0,2903000000,Q2,2015-01-26,789019,xbrl
2016.0,2903000000,Q2,2016-01-28,789019,xbrl
2015.0,8952000000,Q3,2015-04-23,789019,xbrl
2016.0,8952000000,Q3,2016-04-21,789019,xbrl
2015.0,2984000000,Q3,2015-04-23,789019,xbrl
2016.0,2984000000,Q3,2016-04-21,789019,xbrl
2015.0,12046000000,FY,2015-07-31,789019,xbrl
2016.0,12046000000,FY,2016-07-28,789019,xbrl
2017.0,12046000000,FY,2017-08-02,789019,xbrl
2016.0,2962000000,Q1,2015-10-22,789019,xbrl
2017.0,2962000000,Q1,2016-10-20,789019,xbrl
2016.0,5862000000,Q2,2016-01-28,789019,xbrl
2017.0,5862000000,Q2,2017-01-26,789019,xbrl
2016.0,2900000000,Q2,2016-01-28,789019,xbrl
2017.0,2900000000,Q2,2017-01-26,789019,xbrl
2016.0,8842000000,Q3,2016-04-21,789019,xbrl
2017.0,8842000000,Q3,2017-04-27,789019,xbrl
2016.0,2980000000,Q3,2016-04-21,789019,xbrl
2017.0,2980000000,Q3,2017-04-27,789019,xbrl
2016.0,11988000000,FY,2016-07-28,789019,xbrl
2017.0,11988000000,FY,2017-08-02,789019,xbrl
2018.0,11988000000,FY,2018-08-03,789019,xbrl
2017.0,3106000000,Q1,2016-10-20,789019,xbrl
2018.0,3106000000,Q1,2017-10-26,789019,xbrl
2017.0,6168000000,Q2,2017-01-26,789019,xbrl
2018.0,6168000000,Q2,2018-01-31,789019,xbrl
2017.0,3062000000,Q2,2017-01-26,789019,xbrl
2018.0,3062000000,Q2,2018-01-31,789019,xbrl
2017.0,9523000000,Q3,2017-04-27,789019,xbrl
2018.0,9523000000,Q3,2018-04-26,789019,xbrl
2017.0,3355000000,Q3,2017-04-27,789019,xbrl
2018.0,3355000000,Q3,2018-04-26,789019,xbrl
2017.0,13037000000,FY,2017-08-02,789019,xbrl
2018.0,13037000000,FY,2018-08-03,789019,xbrl
2019.0,13037000000,FY,2019-08-01,789019,xbrl
2018.0,3574000000,Q1,2017-10-26,789019,xbrl
2019.0,3574000000,Q1,2018-10-24,789019,xbrl
2018.0,7078000000,Q2,2018-01-31,789019,xbrl
2019.0,7078000000,Q2,2019-01-30,789019,xbrl
2018.0,3504000000,Q2,2018-01-31,789019,xbrl
2019.0,3504000000,Q2,2019-01-30,789019,xbrl
2018.0,10793000000,Q3,2018-04-26,789019,xbrl
2019.0,10793000000,Q3,2019-04-24,789019,xbrl
2018.0,3715000000,Q3,2018-04-26,789019,xbrl
2019.0,3715000000,Q3,2019-04-24,789019,xbrl
2018.0,14726000000,FY,2018-08-03,789019,xbrl
2019.0,14726000000,FY,2019-08-01,789019,xbrl
2020.0,14726000000,FY,2020-07-31,789019,xbrl
2019.0,3977000000,Q1,2018-10-24,789019,xbrl
2020.0,3977000000,Q1,2019-10-23,789019,xbrl
2019.0,8047000000,Q2,2019-01-30,789019,xbrl
2020.0,8047000000,Q2,2020-01-29,789019,xbrl
2019.0,4070000000,Q2,2019-01-30,789019,xbrl
2020.0,4070000000,Q2,2020-01-29,789019,xbrl
2019.0,12363000000,Q3,2019-04-24,789019,xbrl
2020.0,12363000000,Q3,2020-04-29,789019,xbrl
2019.0,4316000000,Q3,2019-04-24,789019,xbrl
2020.0,4316000000,Q3,2020-04-29,789019,xbrl
2019.0,16876000000,FY,2019-08-01,789019,xbrl
2020.0,16876000000,FY,2020-07-31,789019,xbrl
2021.0,16876000000,FY,2021-07-29,789019,xbrl
2020.0,4565000000,Q1,2019-10-23,789019,xbrl
2021.0,4565000000,Q1,2020-10-27,789019,xbrl
2020.0,9168000000,Q2,2020-01-29,789019,xbrl
2021.0,9168000000,Q2,2021-01-26,789019,xbrl
2020.0,4603000000,Q2,2020-01-29,789019,xbrl
2021.0,4603000000,Q2,2021-01-26,789019,xbrl
2020.0,14055000000,Q3,2020-04-29,789019,xbrl
2021.0,14055000000,Q3,2021-04-27,789019,xbrl
2020.0,4887000000,Q3,2020-04-29,789019,xbrl
2021.0,4887000000,Q3,2021-04-27,789019,xbrl
2020.0,19269000000,FY,2020-07-31,789019,xbrl
2021.0,19269000000,FY,2021-07-29,789019,xbrl
2022.0,19269000000,FY,2022-07-28,789019,xbrl
2021.0,4926000000,Q1,2020-10-27,789019,xbrl
2022.0,4926000000,Q1,2021-10-26,789019,xbrl
2021.0,9825000000,Q2,2021-01-26,789019,xbrl
2022.0,9825000000,Q2,2022-01-25,789019,xbrl
2021.0,4899000000,Q2,2021-01-26,789019,xbrl
2022.0,4899000000,Q2,2022-01-25,789019,xbrl
2021.0,15029000000,Q3,2021-04-27,789019,xbrl
2022.0,15029000000,Q3,2022-04-26,789019,xbrl
2021.0,5204000000,Q3,2021-04-27,789019,xbrl
2022.0,5204000000,Q3,2022-04-26,789019,xbrl
2021.0,20716000000,FY,2021-07-29,789019,xbrl
2022.0,20716000000,FY,2022-07-28,789019,xbrl
2023.0,20716000000,FY,2023-07-27,789019,xbrl
2022.0,5599000000,Q1,2021-10-26,789019,xbrl
2023.0,5599000000,Q1,2022-10-25,789019,xbrl
2022.0,11357000000,Q2,2022-01-25,789019,xbrl
2023.0,11357000000,Q2,2023-01-24,789019,xbrl
2022.0,5758000000,Q2,2022-01-25,789019,xbrl
2023.0,5758000000,Q2,2023-01-24,789019,xbrl
2022.0,17663000000,Q3,2022-04-26,789019,xbrl
2023.0,17663000000,Q3,2023-04-25,789019,xbrl
2022.0,6306000000,Q3,2022-04-26,789019,xbrl
2023.0,6306000000,Q3,2023-04-25,789019,xbrl
2022.0,24512000000,FY,2022-07-28,789019,xbrl
2023.0,24512000000,FY,2023-07-27,789019,xbrl
2023.0,6628000000,Q1,2022-10-25,789019,xbrl
2023.0,13472000000,Q2,2023-01-24,789019,xbrl
2023.0,6844000000,Q2,2023-01-24,789019,xbrl
2023.0,20456000000,Q3,2023-04-25,789019,xbrl
2023.0,6984000000,Q3,2023-04-25,789019,xbrl
2023.0,27195000000,FY,2023-07-27,789019,xbrl
2013.0,1002605000,FY,2014-03-13,1045810,xbrl
2013.0,283902000,Q1,2013-05-22,1045810,xbrl
2013.0,565095000,Q2,2013-08-21,1045810,xbrl
2013.0,281193000,Q2,2013-08-21,1045810,xbrl
2013.0,849275000,Q3,2013-11-19,1045810,xbrl
2013.0,284180000,Q3,2013-11-19,1045810,xbrl
2013.0,1147282000,FY,2014-03-13,1045810,xbrl
2014.0,1147282000,FY,2015-03-12,1045810,xbrl
2013.0,327161000,Q1,2013-05-22,1045810,xbrl
2014.0,327161000,Q1,2014-05-21,1045810,xbrl
2013.0,658899000,Q2,2013-08-21,1045810,xbrl
2014.0,658899000,Q2,2014-08-20,1045810,xbrl
2013.0,331738000,Q2,2013-08-21,1045810,xbrl
2014.0,331738000,Q2,2014-08-20,1045810,xbrl
2013.0,999193000,Q3,2013-11-19,1045810,xbrl
2014.0,999193000,Q3,2014-11-19,1045810,xbrl
2013.0,340294000,Q3,2013-11-19,1045810,xbrl
2014.0,340294000,Q3,2014-11-19,1045810,xbrl
2013.0,1335834000,FY,2014-03-13,1045810,xbrl
2014.0,1335834000,FY,2015-03-12,1045810,xbrl
2015.0,1336000000,FY,2016-03-17,1045810,xbrl
2014.0,334263000,Q1,2014-05-21,1045810,xbrl
2015.0,334000000,Q1,2015-05-20,1045810,xbrl
2014.0,671387000,Q2,2014-08-20,1045810,xbrl
2015.0,672000000,Q2,2015-08-19,1045810,xbrl
2014.0,337124000,Q2,2014-08-20,1045810,xbrl
2015.0,337000000,Q2,2015-08-19,1045810,xbrl
2014.0,1011472000,Q3,2014-11-19,1045810,xbrl
2015.0,1011000000,Q3,2015-11-18,1045810,xbrl
2014.0,340085000,Q3,2014-11-19,1045810,xbrl
2015.0,340000000,Q3,2015-11-18,1045810,xbrl
2014.0,1359725000,FY,2015-03-12,1045810,xbrl
2015.0,1360000000,FY,2016-03-17,1045810,xbrl
2016.0,1360000000,FY,2017-03-01,1045810,xbrl
2015.0,339000000,Q1,2015-05-20,1045810,xbrl
2016.0,339000000,Q1,2016-05-25,1045810,xbrl
2015.0,658000000,Q2,2015-08-19,1045810,xbrl
2016.0,658000000,Q2,2016-08-23,1045810,xbrl
2015.0,320000000,Q2,2015-08-19,1045810,xbrl
2016.0,320000000,Q2,2016-08-23,1045810,xbrl
2015.0,987000000,Q3,2015-11-18,1045810,xbrl
2016.0,987000000,Q3,2016-11-22,1045810,xbrl
2015.0,329000000,Q3,2015-11-18,1045810,xbrl
2016.0,329000000,Q3,2016-11-22,1045810,xbrl
2015.0,1331000000,FY,2016-03-17,1045810,xbrl
2016.0,1331000000,FY,2017-03-01,1045810,xbrl
2017.0,1331000000,FY,2018-02-28,1045810,xbrl
2016.0,346000000,Q1,2016-05-25,1045810,xbrl
2017.0,346000000,Q1,2017-05-23,1045810,xbrl
2016.0,697000000,Q2,2016-08-23,1045810,xbrl
2017.0,697000000,Q2,2017-08-23,1045810,xbrl
2016.0,350000000,Q2,2016-08-23,1045810,xbrl
2017.0,350000000,Q2,2017-08-23,1045810,xbrl
2016.0,1069000000,Q3,2016-11-22,1045810,xbrl
2017.0,1069000000,Q3,2017-11-21,1045810,xbrl
2016.0,373000000,Q3,2016-11-22,1045810,xbrl
2017.0,373000000,Q3,2017-11-21,1045810,xbrl
2016.0,1463000000,FY,2017-03-01,1045810,xbrl
2017.0,1463000000,FY,2018-02-28,1045810,xbrl
2018.0,1463000000,FY,2019-02-21,1045810,xbrl
2017.0,411000000,Q1,2017-05-23,1045810,xbrl
2018.0,411000000,Q1,2018-05-22,1045810,xbrl
2017.0,827000000,Q2,2017-08-23,1045810,xbrl
2018.0,827000000,Q2,2018-08-16,1045810,xbrl
2017.0,416000000,Q2,2017-08-23,1045810,xbrl
2018.0,416000000,Q2,2018-08-16,1045810,xbrl
2017.0,1290000000,Q3,2017-11-21,1045810,xbrl
2019.0,1290000000,Q3,2018-11-15,1045810,xbrl
2017.0,462000000,Q3,2017-11-21,1045810,xbrl
2019.0,462000000,Q3,2018-11-15,1045810,xbrl
2017.0,1797000000,FY,2018-02-28,1045810,xbrl
2018.0,1797000000,FY,2019-02-21,1045810,xbrl
2019.0,1797000000,FY,2020-02-20,1045810,xbrl
2018.0,542000000,Q1,2018-05-22,1045810,xbrl
2020.0,542000000,Q1,2019-05-16,1045810,xbrl
2018.0,1124000000,Q2,2018-08-16,1045810,xbrl
2020.0,1124000000,Q2,2019-08-15,1045810,xbrl
2018.0,581000000,Q2,2018-08-16,1045810,xbrl
2020.0,581000000,Q2,2019-08-15,1045810,xbrl
2019.0,1729000000,Q3,2018-11-15,1045810,xbrl
2020.0,1729000000,Q3,2019-11-14,1045810,xbrl
2019.0,605000000,Q3,2018-11-15,1045810,xbrl
2020.0,605000000,Q3,2019-11-14,1045810,xbrl
2018.0,2376000000,FY,2019-02-21,1045810,xbrl
2019.0,2376000000,FY,2020-02-20,1045810,xbrl
2020.0,2376000000,FY,2021-02-26,1045810,xbrl
2020.0,674000000,Q1,2019-05-16,1045810,xbrl
2020.0,674000000,Q1,2020-05-21,1045810,xbrl
2020.0,1379000000,Q2,2019-08-15,1045810,xbrl
2020.0,1379000000,Q2,2020-08-19,1045810,xbrl
2020.0,704000000,Q2,2019-08-15,1045810,xbrl
2020.0,704000000,Q2,2020-08-19,1045810,xbrl
2020.0,2091000000,Q3,2019-11-14,1045810,xbrl
2021.0,2091000000,Q3,2020-11-18,1045810,xbrl
2020.0,712000000,Q3,2019-11-14,1045810,xbrl
2021.0,712000000,Q3,2020-11-18,1045810,xbrl
2019.0,2829000000,FY,2020-02-20,1045810,xbrl
2020.0,2829000000,FY,2021-02-26,1045810,xbrl
2022.0,2829000000,FY,2022-03-18,1045810,xbrl
2020.0,735000000,Q1,2020-05-21,1045810,xbrl
2022.0,735000000,Q1,2021-05-26,1045810,xbrl
2020.0,1732000000,Q2,2020-08-19,1045810,xbrl
2022.0,1732000000,Q2,2021-08-20,1045810,xbrl
2020.0,997000000,Q2,2020-08-19,1045810,xbrl
2022.0,997000000,Q2,2021-08-20,1045810,xbrl
2021.0,2778000000,Q3,2020-11-18,1045810,xbrl
2022.0,2778000000,Q3,2021-11-22,1045810,xbrl
2021.0,1047000000,Q3,2020-11-18,1045810,xbrl
2022.0,1047000000,Q3,2021-11-22,1045810,xbrl
2020.0,3924000000,FY,2021-02-26,1045810,xbrl
2022.0,3924000000,FY,2022-03-18,1045810,xbrl
2023.0,3924000000,FY,2023-02-24,1045810,xbrl
2022.0,1153000000,Q1,2021-05-26,1045810,xbrl
2023.0,1153000000,Q1,2022-05-27,1045810,xbrl
2022.0,2398000000,Q2,2021-08-20,1045810,xbrl
2023.0,2398000000,Q2,2022-08-31,1045810,xbrl
2022.0,1245000000,Q2,2021-08-20,1045810,xbrl
2023.0,1245000000,Q2,2022-08-31,1045810,xbrl
2022.0,3802000000,Q3,2021-11-22,1045810,xbrl
2023.0,3802000000,Q3,2022-11-18,1045810,xbrl
2022.0,1403000000,Q3,2021-11-22,1045810,xbrl
2023.0,1403000000,Q3,2022-11-18,1045810,xbrl
2022.0,5268000000,FY,2022-03-18,1045810,xbrl
2023.0,5268000000,FY,2023-02-24,1045810,xbrl
2023.0,1618000000,Q1,2022-05-27,1045810,xbrl
2023.0,3443000000,Q2,2022-08-31,1045810,xbrl
2023.0,1824000000,Q2,2022-08-31,1045810,xbrl
2023.0,5387000000,Q3,2022-11-18,1045810,xbrl
2023.0,1945000000,Q3,2022-11-18,1045810,xbrl
2023.0,7339000000,FY,2023-02-24,1045810,xbrl
2018.0,2674000000,FY,2018-12-21,1730168,xbrl
2018.0,1637000000,Q2,2018-06-14,1730168,xbrl
2018.0,829000000,Q2,2018-06-14,1730168,xbrl
2018.0,2464000000,Q3,2018-09-13,1730168,xbrl
2018.0,827000000,Q3,2018-09-13,1730168,xbrl
2018.0,3292000000,FY,2018-12-21,1730168,xbrl
2019.0,3302000000,FY,2019-12-20,1730168,xbrl
2019.0,925000000,Q1,2019-03-15,1730168,xbrl
2018.0,1861000000,Q2,2018-06-14,1730168,xbrl
2019.0,1861000000,Q2,2019-06-14,1730168,xbrl
2018.0,936000000,Q2,2018-06-14,1730168,xbrl
2019.0,936000000,Q2,2019-06-14,1730168,xbrl
2018.0,2820000000,Q3,2018-09-13,1730168,xbrl
2019.0,2820000000,Q3,2019-09-13,1730168,xbrl
2018.0,959000000,Q3,2018-09-13,1730168,xbrl
2019.0,959000000,Q3,2019-09-13,1730168,xbrl
2018.0,3768000000,FY,2018-12-21,1730168,xbrl
2019.0,3768000000,FY,2019-12-20,1730168,xbrl
2020.0,3768000000,FY,2020-12-18,1730168,xbrl
2019.0,1133000000,Q1,2019-03-15,1730168,xbrl
2020.0,1133000000,Q1,2020-03-13,1730168,xbrl
2019.0,2284000000,Q2,2019-06-14,1730168,xbrl
2020.0,2284000000,Q2,2020-06-12,1730168,xbrl
2019.0,1151000000,Q2,2019-06-14,1730168,xbrl
2020.0,1151000000,Q2,2020-06-12,1730168,xbrl
2019.0,3519000000,Q3,2019-09-13,1730168,xbrl
2020.0,3519000000,Q3,2020-09-11,1730168,xbrl
2019.0,1235000000,Q3,2019-09-13,1730168,xbrl
2020.0,1235000000,Q3,2020-09-11,1730168,xbrl
2019.0,4696000000,FY,2019-12-20,1730168,xbrl
2020.0,4696000000,FY,2020-12-18,1730168,xbrl
2021.0,4696000000,FY,2021-12-17,1730168,xbrl
2020.0,1289000000,Q1,2020-03-13,1730168,xbrl
2021.0,1289000000,Q1,2021-03-12,1730168,xbrl
2020.0,2558000000,Q2,2020-06-12,1730168,xbrl
2021.0,2558000000,Q2,2021-06-11,1730168,xbrl
2020.0,1269000000,Q2,2020-06-12,1730168,xbrl
2021.0,1269000000,Q2,2021-06-11,1730168,xbrl
2020.0,3786000000,Q3,2020-09-11,1730168,xbrl
2021.0,3786000000,Q3,2021-09-09,1730168,xbrl
2020.0,1228000000,Q3,2020-09-11,1730168,xbrl
2021.0,1228000000,Q3,2021-09-09,1730168,xbrl
2020.0,4968000000,FY,2020-12-18,1730168,xbrl
2021.0,4968000000,FY,2021-12-17,1730168,xbrl
2022.0,4968000000,FY,2022-12-16,1730168,xbrl
2021.0,1211000000,Q1,2021-03-12,1730168,xbrl
2022.0,1211000000,Q1,2022-03-10,1730168,xbrl
2021.0,2449000000,Q2,2021-06-11,1730168,xbrl
2022.0,2449000000,Q2,2022-06-09,1730168,xbrl
2021.0,1238000000,Q2,2021-06-11,1730168,xbrl
2022.0,1238000000,Q2,2022-06-09,1730168,xbrl
2021.0,3654000000,Q3,2021-09-09,1730168,xbrl
2022.0,3654000000,Q3,2022-09-08,1730168,xbrl
2021.0,1205000000,Q3,2021-09-09,1730168,xbrl
2022.0,1205000000,Q3,2022-09-08,1730168,xbrl
2021.0,4854000000,FY,2021-12-17,1730168,xbrl
2022.0,4854000000,FY,2022-12-16,1730168,xbrl
2023.0,4854000000,FY,2023-12-14,1730168,xbrl
2022.0,1206000000,Q1,2022-03-10,1730168,xbrl
2023.0,1206000000,Q1,2023-03-08,1730168,xbrl
2022.0,2467000000,Q2,2022-06-09,1730168,xbrl
2023.0,2467000000,Q2,2023-06-07,1730168,xbrl
2022.0,1261000000,Q2,2022-06-09,1730168,xbrl
2023.0,1261000000,Q2,2023-06-07,1730168,xbrl
2022.0,3722000000,Q3,2022-09-08,1730168,xbrl
